,resistance,voltage,current,time,pre_rect,post_rect,labels
21655,6,250,DC,216.55,0.47607421875,7.87353515625,L
21656,6,250,DC,216.56,0.469970703125,7.87353515625,L
21657,6,250,DC,216.57,0.4541015625,7.87353515625,L
21658,6,250,DC,216.58,0.42724609375,7.87109375,L
21659,6,250,DC,216.59,0.4052734375,7.87109375,L
21660,6,250,DC,216.6,0.396728515625,7.869873046875,L
21661,6,250,DC,216.61,0.408935546875,7.872314453125,L
21662,6,250,DC,216.62,0.4296875,7.87353515625,L
21663,6,250,DC,216.63,0.455322265625,7.872314453125,L
21664,6,250,DC,216.64000000000001,0.477294921875,7.8759765625,L
21665,6,250,DC,216.65,0.4833984375,7.8759765625,L
21666,6,250,DC,216.66,0.472412109375,7.8759765625,L
21667,6,250,DC,216.67000000000002,0.452880859375,7.877197265625,L
21668,6,250,DC,216.68,0.4248046875,7.87841796875,L
21669,6,250,DC,216.69,0.408935546875,7.877197265625,L
21670,6,250,DC,216.70000000000002,0.408935546875,7.877197265625,L
21671,6,250,DC,216.71,0.421142578125,7.877197265625,L
21672,6,250,DC,216.72,0.447998046875,7.87841796875,L
21673,6,250,DC,216.73000000000002,0.47119140625,7.879638671875,L
21674,6,250,DC,216.74,0.48828125,7.880859375,L
21675,6,250,DC,216.75,0.48828125,7.882080078125,L
21676,6,250,DC,216.76,0.4736328125,7.880859375,L
21677,6,250,DC,216.77,0.44677734375,7.882080078125,L
21678,6,250,DC,216.78,0.423583984375,7.882080078125,L
21679,6,250,DC,216.79,0.41259765625,7.88330078125,L
21680,6,250,DC,216.8,0.413818359375,7.882080078125,L
21681,6,250,DC,216.81,0.4296875,7.880859375,L
21682,6,250,DC,216.82,0.4541015625,7.88330078125,L
21683,6,250,DC,216.83,0.472412109375,7.87841796875,L
21684,6,250,DC,216.84,0.479736328125,7.879638671875,L
21685,6,250,DC,216.85,0.4736328125,7.877197265625,L
21686,6,250,DC,216.86,0.4541015625,7.877197265625,L
21687,6,250,DC,216.87,0.430908203125,7.877197265625,L
21688,6,250,DC,216.88,0.41015625,7.874755859375,L
21689,6,250,DC,216.89000000000001,0.4052734375,7.87841796875,L
21690,6,250,DC,216.9,0.41259765625,7.877197265625,L
21691,6,250,DC,216.91,0.42724609375,7.874755859375,L
21692,6,250,DC,216.92000000000002,0.447998046875,7.87109375,L
21693,6,250,DC,216.93,0.469970703125,7.869873046875,L
21694,6,250,DC,216.94,0.4833984375,7.87109375,L
